,created_at,tweet_text
40,2022-01-21 00:14:47+00:00,"#AGTG 
Blessed to receive a SEC PWO offer from the University of Missouri 💯 💪@JaredRussellMIZ @CoachKMcDaniel @CoachDjSmith @mjohnson7672 @CoachmikeStl @stlhssporttalk @AllenTrieu @GSV_STL @JPRockMO https://t.co/CCeosdpX9h"
41,2022-01-20 20:06:17+00:00,"Will Missouri pass a 7-1 or 6-2 congressional map? The debate is heating up 🔥 🗳 in the #MOLeg Find out where the map stands tonight at 7:00 from @danshaul113, @BobOnderMO and @jmmurphy8 RSVP and Details https://t.co/F3XWBBZOt3 #MOLeg https://t.co/Vjgz026m2R"
42,2022-01-20 16:58:11+00:00,"REPORTER: ""Have you heard the Ukrainian president's comments that 'there are no minor incursions'?""

BIDEN: ........................................ https://t.co/0IhsUhYhUH"
43,2022-01-20 18:47:34+00:00,BREAKING:  Peanut M&amp;Ms will now be allowed to identify as Plain M &amp; Ms without having to relinquish their nuts. https://t.co/IljMJ4G53E
44,2022-01-20 20:01:42+00:00,"the money doesn't belong to the government schools.

education funding is meant for educating children, not for protecting a particular institution.

we should fund students, not systems."
45,2022-01-20 17:25:07+00:00,"OPINION from Rep. @NickBSchroer: ""If Democrats want to be competitive, they need to take a close look at what the people of Missouri really want, not leverage out-of-state interest group money to game the system in their favor."" #moleg 

https://t.co/holBg8YX8T"
46,2022-01-20 09:20:02+00:00,"WATCH: Dan Bongino points out how Democrats often question election results but get outraged when Republicans do

https://t.co/7X2v2efuFS"
47,2022-01-19 22:19:37+00:00,@PeggyDewille @JohnDWiemann https://t.co/lWx5QS3Jgl
48,2022-01-19 22:50:13+00:00,@NickBSchroer Thank you Rep Schroer for your hard work representing the will of your constituents.
49,2022-01-20 01:43:49+00:00,"@JohnDWiemann You’re wrong. You should push for a 7-1 @GOP map or change parties. It’s about winning not helping the Dems, how do you not understand this? @NickBSchroer was solid and you owe him an apology @BenBrownTweets"
50,2022-01-20 01:44:31+00:00,"@NickBSchroer You’re correct Nick, we need more leaders like you"
51,2022-01-20 03:15:27+00:00,@NickBSchroer @Eric_Schmitt Yay Dottie &amp; Yay Nick!!❤🇺🇲
52,2022-01-19 21:48:56+00:00,"Yes = vote for Biden-Pelosi 5-3 congressional map. Congratulations, #moleg ⁦@MOHouseGOP⁩. #betrayal https://t.co/aFLWjp4Rpx"
53,2022-01-19 18:38:48+00:00,"Why would Missouri, which is a Republican state, not pass a 7R-1D map? Democrat states like Illinois just eliminated 2R &amp; added 1D district to their congressional map. Republicans in TN proposed a 8R-1D map, while Maryland Democrats proposed a 7D-1R map. https://t.co/VRoZtuO2G3"
54,2022-01-19 18:01:57+00:00,"Do you want Nancy Pelosi to be Speaker of the House in 2023?If not, I need you to call your State Rep &amp; State Senator &amp; tell them you want a 7R-1D map.The proposed map being proposed by the MO House is a 5R-3D map.Meanwhile, IL just voted to add 1D &amp; eliminate 2R districts.#moleg https://t.co/pxEB6Zsttu"
55,2022-01-19 17:46:39+00:00,"@LoCoSiEmPrE @notmyna45069735 @GlazebrookAngie @NickBSchroer Did you read the article? Tennessee’s education department declined to investigate because the law doesn’t prohibit MLK’s ideas or works.

I’ll say it again: no piece of legislation currently being proposed would prohibit MLK’s works or ideas."
56,2022-01-19 16:45:50+00:00,It’s a 5-3 map. https://t.co/WAaV8fwOlK
57,2022-01-19 16:55:17+00:00,"Yes, it is. #moleg needs to shore up CD2 much more than the current bill does. Astounding how many House conservatives voted for it. https://t.co/qTv6wbUA25"
58,2022-01-19 16:57:09+00:00,"Rep. @NickBSchroer says he will be voting no because “we are going backwards as a conservative.” He disagrees with the final results of the map. “This map will open the door for the next @CoriBush to run in the 2nd district.” 
Here’s a look at the 2nd district. #moleg https://t.co/M93FX1QSK8"
59,2022-01-19 17:13:37+00:00,"@Dan_from_wntzvl @karebehr66 @NickBSchroer If people want to disagree with his policies and opinions, that’s fine. But bringing his family into adult conversations is out of bounds. Stay on point. There is no reason for his family to be collateral damage."
60,2022-01-19 16:56:23+00:00,"Over in the House, Rep. @NickBSchroer says he will vote no on the map, saying it ""goes backward."" He says the map will propel someone like Congresswomen @coribush or @AOC to be elected in the 2nd congressional district. #moleg"
61,2022-01-19 16:17:15+00:00,@karebehr66 @NickBSchroer You’re not qualified to say what is best for @NickBSchroer and his family. Your opinion is irrelevant in this conversation.
62,2022-01-19 15:25:01+00:00,"@NickBSchroer @JaredRussellMIZ @chrispronger Nate is taller now. That pic is over two years old. I told Chris that I thought he was Nathan’s real dad. I introduced Nate to Hull and Plager that night too. They both said “holy sh@$!” 

Nate was only 15 years old here. https://t.co/NAiLMiMr5P"
63,2022-01-19 15:15:06+00:00,"Many students are told they have to go to college or they won't be successful. @GovRonDeSantis knows that isn't the case. 

He outlines how Florida is helping students prepare for lucrative careers while they're still in high school.

📺https://t.co/wmsNXhUMMp #work #flapol https://t.co/qs1a0gQHKA"
64,2022-01-19 15:15:22+00:00,"This is what happens when you promote leftist progressivism &amp; Dems ruin urban America=&gt;

""Los Angeles police ID career criminal Shawn Laval Smith as suspected killer of Brianna Kupfer"" https://t.co/85AtPS2KGu @933KWTO @NewstalkSTL"
65,2022-01-19 15:15:36+00:00,The Biden Admin will casually brush off inflation until it reaches a point where it can’t be ignored. Then they will present a solution that involves government control over the cost of goods. This is how Socialism works. Invent a problem; propose government as the solution.
