tweet_id,tweet_created_at,tweet_text,tweet_lang,tweet_source,tweet_reply_settings,tweet_conversation_id,tweet_in_response_to_user,tweet_username,tweet_user_tweet_count,tweet_user_description,tweet_user_location,tweet_user_created_at,tweet_user_pinned_tweet,tweet_user_profile_url,tweet_user_verified,tweet_user_listed_count,tweet_user_following_count,tweet_user_followers_count,tweet_reply_count,tweet_like_count,tweet_quote_count,tweet_reply_count,tweet_reference_type,tweet_reference_id,tweet_clean_text,tweet_sentiment_all,tweet_sentiment_compound,tweet_hashtags,tweet_annotations,tweet_urls,tweet_mentions,tweet_user_id,tweet_context_annotations
1481085687734673412,2022-01-12 02:08:39+00:00,@rachelroyalkc @LadyMar21878376 https://t.co/3hDdggxKBr,und,Twitter for Android,everyone,1481077080045535235,2859085459,mizzoufans,7579,"I’m an avid fan of Mizzou, Royals, Cardinals, Blues, Chiefs, ACHS Bulldogs, and the great State of Missouri... likes don't imply agreement","Missouri, USA",2008-12-18 15:08:35+00:00,,https://pbs.twimg.com/profile_images/1455245961379340297/lOR7QMji_normal.jpg,False,0,849,234,0,0,0,0,replied_to,1481080018461675521,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,,['https://justthenews.com/politics-policy/education/missouri-teachers-told-white-supremacy-includes-english-only-calling'],"['rachelroyalkc', 'LadyMar21878376']",18216262,[]
1481073587251462147,2022-01-12 01:20:34+00:00,Missouri is governed by “irresponsible and incompetent Neanderthals” who are forcing schools to keep buildings open with 30-50% of teachers out sick or risk their funding - @OGMikeJonesSTL of Normandy Schools,en,Twitter for iPhone,everyone,1481073587251462147,,blythebernhard,8107,"St. Louis Post-Dispatch education reporter, Nevada native, accidentally named my kids Bill & Ted. @usc @uscannenberg @semesteratsea @ocregister #vegasborn","St. Louis, Missouri",2009-03-27 21:52:59+00:00,1179242241635885064,https://pbs.twimg.com/profile_images/1399745607447846916/0JOU_oJV_normal.jpg,True,268,4476,5463,6,79,3,6,,,Missouri is governed by “irresponsible and incompetent Neanderthals” who are forcing schools to keep buildings open with 30-50% of teachers out sick or risk their funding - of Normandy Schools,"{'neg': 0.246, 'neu': 0.754, 'pos': 0.0, 'compound': -0.8176}",-0.8176,,"['Place', 'Missouri']",,['OGMikeJonesSTL'],27107310,[]
1481068699578777605,2022-01-12 01:01:09+00:00,There’s going to be a mass exodus of Missouri teachers soon https://t.co/4xs3Zxsle1,en,Twitter for iPhone,everyone,1481068699578777605,,saularm653,4372,tiny blue dot in a rural ocean of Missouri red otherwise known as a #dirtroaddemocrat  #resist,Ozark Hills of SW MO,2017-01-23 18:28:23+00:00,,https://pbs.twimg.com/profile_images/1378176971314716673/vizeMoaz_normal.jpg,False,1,4572,2499,5,7,0,5,quoted,1480910876538458125,There’s going to be a mass exodus of Missouri teachers soon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,"['Place', 'Missouri']",['https://twitter.com/piper4missouri/status/1480910876538458125'],,823598268688932864,[]
1481055478251769861,2022-01-12 00:08:37+00:00,"@Swoozey56Gmail @NebraskaMegan Not enough time. Not paid enough. All teachers in Missouri are given 50 minutes of “planning time” daily. Use it for students?  Are you crazy? I gotta get to the bank!  Summers off. Every state holiday off. Masters Degree teacher starts out at $40,000 + per year. Not bad.",en,Twitter for iPhone,everyone,1480966992274366469,2332512572,CanalZone67,2961,"“When you come to a fork in the road, take it.” Yogi Berra    Trump/DeSantis 2024    Angel Son     Hippie Forever  World Peace is possible   Nana",Missouri Bootheel,2022-01-01 21:31:10+00:00,1477394239151611914,https://pbs.twimg.com/profile_images/1477392091097583620/GibAnJxT_normal.jpg,False,1,886,683,1,0,0,1,replied_to,1481053631835443201,"Not enough time. Not paid enough. All teachers in Missouri are given 50 minutes of “planning time” daily. Use it for students? Are you crazy? I gotta get to the bank! Summers off. Every state holiday off. Masters Degree teacher starts out at $40,000 + per year. Not bad.","{'neg': 0.046, 'neu': 0.836, 'pos': 0.118, 'compound': 0.5862}",0.5862,,"['Place', 'Missouri']",,"['Swoozey56Gmail', 'NebraskaMegan']",1477391898474131456,[]
1481035757821300738,2022-01-11 22:50:15+00:00,"@thatbobertguy @KSVesq @J_Dot_J My sister is a teacher (Missouri). She says it is all the hand sanitizer. Also, all the teachers in her district were named TEACHER OF THE YEAR in 2020. That definitely helped. Also, the MO AG has sued to prevent all mitigation &amp; meaningful reporting.",en,Twitter for Android,everyone,1480990638523002881,165530675,pschauffler,2510,"Dog loving, Kansas City lawyer. Someday I may change my profile pic. to me, but my dog Zelda is cuter. She, her, hers. Black Lives Matter. LGBTQ+ Lives Matter.","Kansas City, MO",2010-12-25 15:19:27+00:00,,https://pbs.twimg.com/profile_images/819663942003789828/RT-Ee-Eu_normal.jpg,False,0,691,115,0,0,0,0,replied_to,1480994115751919616,"My sister is a teacher (Missouri). She says it is all the hand sanitizer. Also, all the teachers in her district were named TEACHER OF THE YEAR in 2020. That definitely helped. Also, the MO AG has sued to prevent all mitigation &amp; meaningful reporting.","{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.8074}",0.8074,,"['Place', 'Missouri', 'Organization', 'MO AG']",,"['thatbobertguy', 'KSVesq', 'J_Dot_J']",230462566,"[{'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
1481021865732755458,2022-01-11 21:55:03+00:00,@RadioFreeTom There’s a school district near me that has no mask mandate and 2 teachers have died. Yet because of political reasons no one will institute a mask mandate. School Board maths are a mess everywhere in Missouri,en,Twitter for iPhone,everyone,1481018074765611008,1413861006867062793,MiraBlue12,8342,I need a nap,,2021-07-10 14:02:00+00:00,1464063124521332789,https://pbs.twimg.com/profile_images/1454519303177396234/mDWtYaKY_normal.jpg,False,2,565,112,2,0,0,2,replied_to,1481021559573778437,There’s a school district near me that has no mask mandate and 2 teachers have died. Yet because of political reasons no one will institute a mask mandate. School Board maths are a mess everywhere in Missouri,"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.8591}",-0.8591,,"['Place', 'Missouri']",,['RadioFreeTom'],1413861006867062793,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1161215199627509761', 'name': 'Tom Nichols', 'description': 'an academic specialist on international affairs'}}, {'domain': {'id': '123', 'name': 'Ongoing News Story', 'description': ""Ongoing News Stories like 'Brexit'""}, 'entity': {'id': '1220701888179359745', 'name': 'COVID-19'}}]"
1481011295541366787,2022-01-11 21:13:03+00:00,"@NChildress17 Oh I know. Indiana teachers are already fucked by legislature that I am hoping Missouri can avoid - we won't.

This is all an attack on public schools that they want to abolish - except when they have to have their kids there for babysitting all day.",en,Twitter Web App,everyone,1481009529819000832,1418575429259042824,stlfanbc7,35518,"Teacher, Coach, Husband, Father

#STLCards
#stlouisblues
#chiefskingdom

Writer at @birdsontheblack.
Host of the Conversations with Cerutti podcast.",,2014-03-01 23:22:42+00:00,1360311447914479619,https://pbs.twimg.com/profile_images/1361725062072655874/3twddfUk_normal.jpg,False,55,1115,1643,3,2,0,3,replied_to,1481010823644418050,Oh I know. Indiana teachers are already fucked by legislature that I am hoping Missouri can avoid - we won't. This is all an attack on public schools that they want to abolish - except when they have to have their kids there for babysitting all day.,"{'neg': 0.187, 'neu': 0.734, 'pos': 0.079, 'compound': -0.765}",-0.765,,"['Place', 'Indiana', 'Place', 'Missouri']",,['NChildress17'],2367772056,[]
1481002904932679682,2022-01-11 20:39:42+00:00,"Those who are considered popular are sometimes seen as mean and aggressive toward others. 

The findings can help teachers tailor support toward students who may not feel welcomed, as well as praise desired prosocial behaviors. More: https://t.co/t2rXMZkZGh",en,Twitter Web App,everyone,1481002903221710848,67539981,MizzouEducation,13457,The University of Missouri College of Education & Human Development. Social media guidelines: https://t.co/fiy2y9zYj7,"Columbia, MO",2009-08-21 06:00:50+00:00,1410665580282073088,https://pbs.twimg.com/profile_images/1410580074236026885/zp9Pl5hZ_normal.jpg,False,82,366,3772,0,0,0,0,replied_to,1481002903221710848,"Those who are considered popular are sometimes seen as mean and aggressive toward others. The findings can help teachers tailor support toward students who may not feel welcomed, as well as praise desired prosocial behaviors. More:","{'neg': 0.076, 'neu': 0.588, 'pos': 0.336, 'compound': 0.9074}",0.9074,,,['https://mizzou.us/MSPopular'],,67539981,[]
1480994374523637761,2022-01-11 20:05:49+00:00,"SURPRISE! 🎈

On #TeacherProud Tuesday, @DrGrenitaLathan surprised Dede Moore, a long-time DECA teacher @Parkview_Viking. 

More than 1,800 teachers are investing in SPS students every day. Each month, we'll join @GOCSDMO school districts in celebrating Missouri teachers. https://t.co/0POHMkaJwX",en,Twitter Web App,everyone,1480994374523637761,,officialSPS,21256,Missouri's largest school district offers engaging. relevant. personal. educational experiences for #EveryLearnerEveryDay,"Springfield, MO",2009-10-01 14:06:14+00:00,1478154276862144519,https://pbs.twimg.com/profile_images/969603511812947968/5LyVYNuz_normal.jpg,False,143,1291,15691,0,42,2,0,,,"SURPRISE! 🎈 On #TeacherProud Tuesday, surprised Dede Moore, a long-time DECA teacher . More than 1,800 teachers are investing in SPS students every day. Each month, we'll join school districts in celebrating Missouri teachers.","{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.8728}",0.8728,['TeacherProud'],"['Person', 'Dede Moore', 'Place', 'Missouri']",['https://twitter.com/officialSPS/status/1480994374523637761/photo/1'],"['DrGrenitaLathan', 'Parkview_Viking', 'GOCSDMO']",78911286,[]
1480988187979923456,2022-01-11 19:41:14+00:00,"@JennaForMO STATE WIDE Missouri Teachers Strike for MAY and JUNE if ANY of these HORRIBLE State Laws are enacted.
Have these Rural MAGA Peasants home school. 
Good luck meeting your mistresses when you are stuck at home with your kids!
LOLOLOL",en,Twitter for Android,everyone,1480931530591637508,1415425935583686660,CliffDogStL1,4134,Inventor and Son of WWII Veteran. Grandson of a Union Organizer. Great Great Great Grandson of Revolutionary War Veterans.,Midwest,2018-10-16 02:25:54+00:00,,https://pbs.twimg.com/profile_images/1353826566921400320/nW1FYo_D_normal.jpg,False,0,419,99,0,1,0,0,replied_to,1480931530591637508,STATE WIDE Missouri Teachers Strike for MAY and JUNE if ANY of these HORRIBLE State Laws are enacted. Have these Rural MAGA Peasants home school. Good luck meeting your mistresses when you are stuck at home with your kids! LOLOLOL,"{'neg': 0.164, 'neu': 0.715, 'pos': 0.121, 'compound': -0.2789}",-0.2789,,,,['JennaForMO'],1052022795046137856,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10033416629', 'name': 'Mistresses'}}]"
