tweet_id,tweet_created_at,tweet_text,tweet_lang,tweet_source,tweet_reply_settings,tweet_conversation_id,tweet_in_response_to_user,tweet_username,tweet_user_tweet_count,tweet_user_description,tweet_user_location,tweet_user_created_at,tweet_user_pinned_tweet,tweet_user_profile_url,tweet_user_verified,tweet_user_listed_count,tweet_user_following_count,tweet_user_followers_count,tweet_reply_count,tweet_like_count,tweet_quote_count,tweet_reply_count,tweet_reference_type,tweet_reference_id,tweet_clean_text,tweet_sentiment_all,tweet_sentiment_compound,tweet_hashtags,tweet_annotations,tweet_urls,tweet_mentions
1481115615469391872,2022-01-12 04:07:35+00:00,"What a stupid bill. He wants to prevent teachers and schools teaching the history of out country. Students should be taught what occurred in the past to hopefully keep it from happening again.

Missouri proposal would ban critical race theory in schools https://t.co/HwYcx2Dqoo",en,Twitter Web App,everyone,1481115615469391872,,2183871751,102745,102745,Missouri,08/26/2008,,,False,75,1194,1114,0,0,0,0,,,What a stupid bill. He wants to prevent teachers and schools teaching the history of out country. Students should be taught what occurred in the past to hopefully keep it from happening again. Missouri proposal would ban critical race theory in schools,"{'neg': 0.189, 'neu': 0.733, 'pos': 0.077, 'compound': -0.7579}",-0.7579,,"['Place', 'Missouri']",['https://www.ky3.com/2022/01/11/missouri-proposal-would-ban-critical-race-theory-schools/'],
1481114412132020226,2022-01-12 04:02:48+00:00,"Average starting salary for a PhD is $80,000 - $100,000 or more.

Average starting salary for a Missouri teacher is $40,000 - $50,000.

How much do Reps. Richey and Schroer plan to add to school budgets to pay teachers?",en,TweetDeck,everyone,1481114412132020226,,15992923,1285,1285,De Soto Missouri ,03/27/2009,1475558425903960065,,False,1,157,96,0,0,0,0,,,"Average starting salary for a PhD is $80,000 - $100,000 or more. Average starting salary for a Missouri teacher is $40,000 - $50,000. How much do Reps. Richey and Schroer plan to add to school budgets to pay teachers?","{'neg': 0.04, 'neu': 0.96, 'pos': 0.0, 'compound': -0.1027}",-0.1027,,"['Organization', 'Missouri', 'Person', 'Richey', 'Organization', 'Schroer']",,
1481113449270816770,2022-01-12 03:58:58+00:00,@MO_HouseDems So tired of it.  These teachers and counselors and administrators have just as much student loan debt as the the other states. Missouri must do better!,en,Twitter for Android,everyone,1480929795361943563,1032685439034028032,26960794,2049,2049,"Jefferson City, MO",08/23/2018,1377635317293977607,https://t.co/TrnK1cSxww,False,35,728,2104,0,0,0,0,replied_to,1480929795361943563,So tired of it. These teachers and counselors and administrators have just as much student loan debt as the the other states. Missouri must do better!,"{'neg': 0.188, 'neu': 0.721, 'pos': 0.091, 'compound': -0.474}",-0.474,,"['Place', 'Missouri']",,['MO_HouseDems']
1481095522622615555,2022-01-12 02:47:44+00:00,Missouri school districts worried about getting stranded up Eric Schmitt's Creek need to just protect kids and teachers and let the AG come after them. This is the exact time we need to be masking/mitigating. Timing is everything.,en,Twitter Web App,everyone,1481095522622615555,,387742522,7922,7922,"Springfield, MO",10/09/2011,,https://t.co/2IZTAP300s,False,18,675,718,1,18,0,1,,,Missouri school districts worried about getting stranded up Eric Schmitt's Creek need to just protect kids and teachers and let the AG come after them. This is the exact time we need to be masking/mitigating. Timing is everything.,"{'neg': 0.054, 'neu': 0.882, 'pos': 0.064, 'compound': 0.1027}",0.1027,,"['Place', 'Missouri', 'Person', 'Eric Schmitt']",,
1481085687734673412,2022-01-12 02:08:39+00:00,@rachelroyalkc @LadyMar21878376 https://t.co/3hDdggxKBr,und,Twitter for Android,everyone,1481077080045535235,2859085459,18216262,7579,7579,"Missouri, USA",12/18/2008,,,False,5,849,234,0,0,0,0,replied_to,1481080018461675521,,"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}",0.0,,,['https://justthenews.com/politics-policy/education/missouri-teachers-told-white-supremacy-includes-english-only-calling'],"['rachelroyalkc', 'LadyMar21878376']"
1481073587251462147,2022-01-12 01:20:34+00:00,Missouri is governed by “irresponsible and incompetent Neanderthals” who are forcing schools to keep buildings open with 30-50% of teachers out sick or risk their funding - @OGMikeJonesSTL of Normandy Schools,en,Twitter for iPhone,everyone,1481073587251462147,,27107310,47053,47053,,10/17/2014,1460292495716143104,,False,26,1292,1476,3,50,2,3,,,Missouri is governed by “irresponsible and incompetent Neanderthals” who are forcing schools to keep buildings open with 30-50% of teachers out sick or risk their funding - of Normandy Schools,"{'neg': 0.246, 'neu': 0.754, 'pos': 0.0, 'compound': -0.8176}",-0.8176,,"['Place', 'Missouri']",,['OGMikeJonesSTL']
1481068699578777605,2022-01-12 01:01:09+00:00,There’s going to be a mass exodus of Missouri teachers soon https://t.co/4xs3Zxsle1,en,Twitter for iPhone,everyone,1481068699578777605,,823598268688932864,5842,5842,,11/25/2020,,,False,1,262,34,5,6,0,5,quoted,1480910876538458125,There’s going to be a mass exodus of Missouri teachers soon,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,,"['Place', 'Missouri']",['https://twitter.com/piper4missouri/status/1480910876538458125'],
1481055478251769861,2022-01-12 00:08:37+00:00,"@Swoozey56Gmail @NebraskaMegan Not enough time. Not paid enough. All teachers in Missouri are given 50 minutes of “planning time” daily. Use it for students?  Are you crazy? I gotta get to the bank!  Summers off. Every state holiday off. Masters Degree teacher starts out at $40,000 + per year. Not bad.",en,Twitter for iPhone,everyone,1480966992274366469,2332512572,1477391898474131456,8107,8107,"St. Louis, Missouri",03/27/2009,1179242241635885064,https://t.co/quj4cpw4Hw,True,268,4477,5452,1,0,0,1,replied_to,1481053631835443201,"Not enough time. Not paid enough. All teachers in Missouri are given 50 minutes of “planning time” daily. Use it for students? Are you crazy? I gotta get to the bank! Summers off. Every state holiday off. Masters Degree teacher starts out at $40,000 + per year. Not bad.","{'neg': 0.046, 'neu': 0.836, 'pos': 0.118, 'compound': 0.5862}",0.5862,,"['Place', 'Missouri']",,"['Swoozey56Gmail', 'NebraskaMegan']"
1481035757821300738,2022-01-11 22:50:15+00:00,"@thatbobertguy @KSVesq @J_Dot_J My sister is a teacher (Missouri). She says it is all the hand sanitizer. Also, all the teachers in her district were named TEACHER OF THE YEAR in 2020. That definitely helped. Also, the MO AG has sued to prevent all mitigation &amp; meaningful reporting.",en,Twitter for Android,everyone,1480990638523002881,165530675,230462566,1448,1448,"St Louis, MO",08/26/2017,,,False,7,241,424,0,0,0,0,replied_to,1480994115751919616,"My sister is a teacher (Missouri). She says it is all the hand sanitizer. Also, all the teachers in her district were named TEACHER OF THE YEAR in 2020. That definitely helped. Also, the MO AG has sued to prevent all mitigation &amp; meaningful reporting.","{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.8074}",0.8074,,"['Place', 'Missouri', 'Organization', 'MO AG']",,"['thatbobertguy', 'KSVesq', 'J_Dot_J']"
1481021865732755458,2022-01-11 21:55:03+00:00,@RadioFreeTom There’s a school district near me that has no mask mandate and 2 teachers have died. Yet because of political reasons no one will institute a mask mandate. School Board maths are a mess everywhere in Missouri,en,Twitter for iPhone,everyone,1481018074765611008,1413861006867062793,1413861006867062793,4366,4366,Ozark Hills of SW MO,01/23/2017,,,False,1,4453,2452,2,0,0,2,replied_to,1481021559573778437,There’s a school district near me that has no mask mandate and 2 teachers have died. Yet because of political reasons no one will institute a mask mandate. School Board maths are a mess everywhere in Missouri,"{'neg': 0.266, 'neu': 0.734, 'pos': 0.0, 'compound': -0.8591}",-0.8591,,"['Place', 'Missouri']",,['RadioFreeTom']
